Gene.name	Karyotype.band	Strand	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Gene.type	Gene.description
C3orf67	p14.2	Minus	chr3	58717365	59050084	Protein coding	Chromosome 3 Open Reading Frame 67
C3orf67-AS1	p14.2	Plus	chr3	58824437	59019093	Non-protein coding RNA	C3orf67 Antisense RNA 1
C3orf70	q27.2	Minus	chr3	185078050	185153014	Protein coding	Chromosome 3 Open Reading Frame 70
C3orf79	q25.2	Plus	chr3	153484495	153502697	Non-protein coding RNA	Chromosome 3 Open Reading Frame 79
C3orf80	q25.33	Plus	chr3	160225496	160228213	Protein coding	Chromosome 3 Open Reading Frame 80
C3orf84	p21.31	Minus	chr3	49177632	49191858	Protein coding	Chromosome 3 Open Reading Frame 84
C3orf85	q13.13	Plus	chr3	109118252	109150514	Protein coding	Chromosome 3 Open Reading Frame 85
C3P1	p13.2	Plus	chr19	10037803	10074135	Pseudogene	Complement Component 3 Precursor Pseudogene
C4A	p21.33	Plus	chr6	31964204	31984862	Protein coding	Complement C4A (Rodgers Blood Group)
C4A-AS1	p21.33	Minus	chr6	31982173	31985702	Non-protein coding RNA	C4A Antisense RNA 1
C4B	p21.33	Plus	chr6	31969570	31983859	Protein coding	Complement C4B (Chido Blood Group)
C4B-AS1	p21.33	Minus	chr6	31916635	31923909	Non-protein coding RNA	C4B Antisense RNA 1
C4B_2	Unknown	Plus	chr6	31974678	31995335	Protein coding	Complement Component 4B (Chido Blood Group), Copy 2
C4BPA	q32.2	Plus	chr1	207104262	207144972	Protein coding	Complement Component 4 Binding Protein Alpha
C4BPAP1	q32.2	Plus	chr1	207165496	207183910	Pseudogene	Complement Component 4 Binding Protein, Alpha Pseudogene 1
C4BPAP2	q32.2	Plus	chr1	207225798	207229202	Pseudogene	Complement Component 4 Binding Protein, Alpha Pseudogene 2
C4BPB	q32.1	Plus	chr1	207088842	207099993	Protein coding	Complement Component 4 Binding Protein Beta
C4orf17	q23	Plus	chr4	99511004	99542303	Protein coding	Chromosome 4 Open Reading Frame 17
C4orf19	p14	Plus	chr4	37453941	37623495	Protein coding	Chromosome 4 Open Reading Frame 19
C4orf22	q21.21	Plus	chr4	80335720	80963756	Protein coding	Chromosome 4 Open Reading Frame 22
C4orf3	q26	Minus	chr4	119296419	119304445	Protein coding	Chromosome 4 Open Reading Frame 3
C4orf33	q28.2	Plus	chr4	129093317	129116640	Protein coding	Chromosome 4 Open Reading Frame 33
C4orf36	q21.3	Minus	chr4	86876205	86892422	Protein coding	Chromosome 4 Open Reading Frame 36
C4orf45	q32.1	Minus	chr4	158893134	159038760	Protein coding	Chromosome 4 Open Reading Frame 45
C4orf46	q32.1	Minus	chr4	158666679	158672255	Protein coding	Chromosome 4 Open Reading Frame 46
C4orf47	q35.1	Plus	chr4	185426249	185449826	Protein coding	Chromosome 4 Open Reading Frame 47
C4orf48	p16.3	Plus	chr4	2041993	2043970	Protein coding	Chromosome 4 Open Reading Frame 48
C4orf50	p16.1	Minus	chr4	5897373	6018507	Protein coding	Chromosome 4 Open Reading Frame 50
C4orf51	q31.21	Plus	chr4	145680115	145771032	Protein coding	Chromosome 4 Open Reading Frame 51
C5	q33.2	Minus	chr9	120952335	121050276	Protein coding	Complement C5
C5AR1	q13.32	Plus	chr19	47290023	47322066	Protein coding	Complement C5a Receptor 1
C5AR2	q13.32	Plus	chr19	47332147	47347327	Protein coding	Complement Component 5a Receptor 2
C5orf15	q31.1	Minus	chr5	133955502	133968787	Protein coding	Chromosome 5 Open Reading Frame 15
C5orf17	p14.2	Plus	chr5	23951348	24178263	Non-protein coding RNA	Chromosome 5 Open Reading Frame 17 (putative)
C5orf22	p13.3	Plus	chr5	31532266	31555058	Protein coding	Chromosome 5 Open Reading Frame 22
C5orf24	q31.1	Plus	chr5	134845680	134859737	Protein coding	Chromosome 5 Open Reading Frame 24
C5orf30	q21.1	Plus	chr5	103258702	103278660	Protein coding	Chromosome 5 Open Reading Frame 30
C5orf34	p12	Minus	chr5	43486701	43515145	Protein coding	Chromosome 5 Open Reading Frame 34
C5orf38	p15.33	Plus	chr5	2752131	2755397	Protein coding	Chromosome 5 Open Reading Frame 38
C5orf42	p13.2	Minus	chr5	37106228	37249428	Protein coding	Chromosome 5 Open Reading Frame 42
C5orf46	q32	Minus	chr5	147880726	147906538	Protein coding	Chromosome 5 Open Reading Frame 46
C5orf47	q35.2	Plus	chr5	173973779	174006140	Protein coding	Chromosome 5 Open Reading Frame 47
C5orf49	p15.31	Minus	chr5	7830378	7851490	Protein coding	Chromosome 5 Open Reading Frame 49
C5orf51	p13.1	Plus	chr5	41904188	41921636	Protein coding	Chromosome 5 Open Reading Frame 51
C5orf52	q33.3	Plus	chr5	157671553	157680143	Protein coding	Chromosome 5 Open Reading Frame 52
C5orf56	q31.1	Plus	chr5	132410636	132488702	Non-protein coding RNA	Chromosome 5 Open Reading Frame 56
C5orf58	q35.1	Plus	chr5	170232447	170252575	Protein coding	Chromosome 5 Open Reading Frame 58
C5orf60	q35.3	Minus	chr5	179641544	179645046	Protein coding	Chromosome 5 Open Reading Frame 60
C5orf63	q23.2	Minus	chr5	127042558	127073492	Protein coding	Chromosome 5 Open Reading Frame 63
C5orf64	q12.1	Plus	chr5	61637708	61751763	Non-protein coding RNA	Chromosome 5 Open Reading Frame 64
C5orf64-AS1	q12.1	Minus	chr5	61732774	61735669	Non-protein coding RNA	C5orf64 Antisense RNA 1
C5orf66	q31.1	Plus	chr5	135033280	135358219	Non-protein coding RNA	Chromosome 5 Open Reading Frame 66
C5orf66-AS1	q31.1	Minus	chr5	135038831	135040047	Non-protein coding RNA	C5orf66 Antisense RNA 1
C5orf66-AS2	q31.1	Minus	chr5	135236234	135248179	Non-protein coding RNA	C5orf66 Antisense RNA 2
C5orf67	q11.2	Minus	chr5	56511567	56606232	Protein coding	Chromosome 5 Open Reading Frame 67
C6	p13.1	Minus	chr5	41142234	41261438	Protein coding	Complement C6
C6orf10	p21.32	Minus	chr6	32241266	32320157	Protein coding	Chromosome 6 Open Reading Frame 10
C6orf106	p21.31	Minus	chr6	34587288	34696859	Protein coding	Chromosome 6 Open Reading Frame 106
C6orf118	q27	Minus	chr6	165279664	165309607	Protein coding	Chromosome 6 Open Reading Frame 118
C6orf120	q27	Plus	chr6	169702190	169704856	Protein coding	Chromosome 6 Open Reading Frame 120
C6orf132	p21.1	Minus	chr6	42101118	42142619	Protein coding	Chromosome 6 Open Reading Frame 132
C6orf136	p21.33	Plus	chr6	30636534	30642598	Protein coding	Chromosome 6 Open Reading Frame 136
C6orf141	p12.3	Plus	chr6	49550646	49561907	Protein coding	Chromosome 6 Open Reading Frame 141
C6orf15	p21.33	Minus	chr6	31103629	31104965	Protein coding	Chromosome 6 Open Reading Frame 15
C6orf163	q15	Plus	chr6	87344849	87365463	Protein coding	Chromosome 6 Open Reading Frame 163
C6orf201	p25.2	Plus	chr6	4079206	4130951	Protein coding	Chromosome 6 Open Reading Frame 201
C6orf203	q21	Plus	chr6	107028213	107051342	Protein coding	Chromosome 6 Open Reading Frame 203
C6orf222	p21.31	Minus	chr6	36315757	36336885	Protein coding	Chromosome 6 Open Reading Frame 222
C6orf223	p21.1	Plus	chr6	44000580	44005958	Protein coding	Chromosome 6 Open Reading Frame 223
C6orf226	p21.1	Minus	chr6	42890265	42890816	Protein coding	Chromosome 6 Open Reading Frame 226
C6orf229	p22.3	Minus	chr6	24797321	24798889	Protein coding	Chromosome 6 Open Reading Frame 229
C6orf47	p21.33	Minus	chr6	31640476	31642950	Protein coding	Chromosome 6 Open Reading Frame 47
C6orf47-AS1	p21.33	Plus	chr6	31640507	31642899	Non-protein coding RNA	C6orf47 Antisense RNA 1
C6orf48	p21.33	Plus	chr6	31816794	31821951	Protein coding	Chromosome 6 Open Reading Frame 48
C6orf52	p24.2	Minus	chr6	10671418	10694797	Protein coding	Chromosome 6 Open Reading Frame 52
C6orf58	q22.33	Plus	chr6	127519455	127591817	Protein coding	Chromosome 6 Open Reading Frame 58
C6orf62	p22.3	Minus	chr6	24704861	24720836	Protein coding	Chromosome 6 Open Reading Frame 62
C6orf89	p21.2	Plus	chr6	36871870	36928964	Protein coding	Chromosome 6 Open Reading Frame 89
C6orf99	q25.3	Plus	chr6	158869939	158919105	Non-protein coding RNA	Chromosome 6 Open Reading Frame 99
C7	p13.1	Plus	chr5	40909252	40982939	Protein coding	Complement C7
C7orf25	p14.1	Minus	chr7	42908726	42912305	Protein coding	Chromosome 7 Open Reading Frame 25
C7orf26	p22.1	Plus	chr7	6590017	6608726	Protein coding	Chromosome 7 Open Reading Frame 26
C7orf31	p15.3	Minus	chr7	25134697	25180356	Protein coding	Chromosome 7 Open Reading Frame 31
C7orf33	q36.1	Plus	chr7	148590565	148615860	Protein coding	Chromosome 7 Open Reading Frame 33
C7orf43	q22.1	Minus	chr7	100154420	100158715	Protein coding	Chromosome 7 Open Reading Frame 43
C7orf49	q33	Minus	chr7	135092363	135170795	Protein coding	Chromosome 7 Open Reading Frame 49
C7orf50	p22.3	Minus	chr7	996986	1138260	Protein coding	Chromosome 7 Open Reading Frame 50
C7orf55-LUC7L2	q34	Plus	chr7	139341360	139422599	Protein coding	C7orf55-LUC7L2 Readthrough
C7orf57	p12.3	Plus	chr7	48035511	48061304	Protein coding	Chromosome 7 Open Reading Frame 57
C7orf61	q22.1	Minus	chr7	100456615	100464271	Protein coding	Chromosome 7 Open Reading Frame 61
C7orf65	p12.3	Plus	chr7	47655244	47661648	Non-protein coding RNA	Chromosome 7 Open Reading Frame 65
C7orf66	q31.1	Minus	chr7	108883975	108884587	Non-protein coding RNA	Chromosome 7 Open Reading Frame 66
C7orf69	p12.3	Plus	chr7	47795291	47819847	Non-protein coding RNA	Chromosome 7 Open Reading Frame 69
C7orf71	p15.2	Plus	chr7	26637871	26647305	Non-protein coding RNA	Chromosome 7 Open Reading Frame 71
C7orf77	q31.33	Minus	chr7	124777292	124790689	Protein coding	Chromosome 7 Open Reading Frame 77
C8A	p32.2	Plus	chr1	56854806	56918221	Protein coding	Complement C8 Alpha Chain
C8B	p32.2	Minus	chr1	56929210	56966140	Protein coding	Complement C8 Beta Chain
C8G	q34.3	Plus	chr9	136945246	136946974	Protein coding	Complement C8 Gamma Chain
C8orf31	q24.3	Plus	chr8	143039209	143059942	Non-protein coding RNA	Chromosome 8 Open Reading Frame 31 (putative)
C8orf33	q24.3	Plus	chr8	145052378	145056030	Protein coding	Chromosome 8 Open Reading Frame 33
C8orf34	q13.2	Plus	chr8	68330722	68819022	Protein coding	Chromosome 8 Open Reading Frame 34
C8orf34-AS1	q13.2	Minus	chr8	68303468	68331491	Non-protein coding RNA	C8orf34 Antisense RNA 1
C8orf37	q22.1	Minus	chr8	95244919	95269201	Protein coding	Chromosome 8 Open Reading Frame 37
C8orf37-AS1	q22.1	Plus	chr8	95204456	95810136	Non-protein coding RNA	C8orf37 Antisense RNA 1
C8orf44	q13.1	Plus	chr8	66667615	66685564	Protein coding	Chromosome 8 Open Reading Frame 44
C8orf46	q13.1	Plus	chr8	66460003	66518524	Protein coding	Chromosome 8 Open Reading Frame 46
C8orf48	p22	Plus	chr8	13566843	13568287	Protein coding	Chromosome 8 Open Reading Frame 48
C8orf49	p23.1	Plus	chr8	11761256	11763223	Non-protein coding RNA	Chromosome 8 Open Reading Frame 49 (putative)
C8orf58	p21.3	Plus	chr8	22599601	22604150	Protein coding	Chromosome 8 Open Reading Frame 58
C8orf59	q21.2	Minus	chr8	85214076	85220421	Protein coding	Chromosome 8 Open Reading Frame 59
C8orf59P1	p13	Minus	chr10	13308145	13308447	Pseudogene	Chromosome 8 Open Reading Frame 59 Pseudogene 1
C8orf59P2	p13.2	Plus	chr5	37130430	37130700	Pseudogene	Chromosome 8 Open Reading Frame 59 Pseudogene 2
C8orf74	p23.1	Plus	chr8	10672637	10700593	Protein coding	Chromosome 8 Open Reading Frame 74
C8orf76	q24.13	Minus	chr8	123219957	123241398	Protein coding	Chromosome 8 Open Reading Frame 76
C8orf82	q24.3	Minus	chr8	144525733	144529132	Protein coding	Chromosome 8 Open Reading Frame 82
C8orf86	p11.22	Minus	chr8	38510834	38528662	Protein coding	Chromosome 8 Open Reading Frame 86
C8orf87	q22.1	Minus	chr8	93134095	93166850	Non-protein coding RNA	Chromosome 8 Open Reading Frame 87
C8orf88	q21.3	Minus	chr8	90958637	90985257	Protein coding	Chromosome 8 Open Reading Frame 88
C8orf89	q21.11	Minus	chr8	73241329	73259502	Protein coding	Chromosome 8 Open Reading Frame 89
C9	p13.1	Minus	chr5	39284262	39424868	Protein coding	Complement C9
C9orf106	q34.11	Plus	chr9	129321016	129324905	Non-protein coding RNA	Chromosome 9 Open Reading Frame 106 (putative)
C9orf116	q34.3	Minus	chr9	135495181	135501734	Protein coding	Chromosome 9 Open Reading Frame 116
C9orf129	q22.31	Minus	chr9	93318199	93346414	Protein coding	Chromosome 9 Open Reading Frame 129
C9orf131	p13.3	Plus	chr9	35041095	35045991	Protein coding	Chromosome 9 Open Reading Frame 131
C9orf135	q21.12	Plus	chr9	69820793	69906232	Protein coding	Chromosome 9 Open Reading Frame 135
C9orf135-AS1	q21.12	Minus	chr9	69818983	69820739	Non-protein coding RNA	C9orf135 Antisense RNA 1 (head To Head)
C9orf139	q34.3	Plus	chr9	137027464	137037957	Non-protein coding RNA	Chromosome 9 Open Reading Frame 139
C9orf147	q32	Minus	chr9	112433816	112487204	Non-protein coding RNA	Chromosome 9 Open Reading Frame 147
C9orf152	q31.3	Minus	chr9	110190048	110208189	Protein coding	Chromosome 9 Open Reading Frame 152
C9orf153	q21.33	Minus	chr9	86220265	86259657	Protein coding	Chromosome 9 Open Reading Frame 153
C9orf16	q34.11	Plus	chr9	128160260	128163928	Protein coding	Chromosome 9 Open Reading Frame 16
C9orf163	q34.3	Plus	chr9	136483495	136486067	Non-protein coding RNA	Chromosome 9 Open Reading Frame 163
C9orf170	q21.33	Plus	chr9	87148644	87159556	Non-protein coding RNA	Chromosome 9 Open Reading Frame 170
C9orf24	p13.3	Minus	chr9	34379019	34397832	Protein coding	Chromosome 9 Open Reading Frame 24
C9orf3	q22.32	Plus	chr9	94726701	95087218	Protein coding	Chromosome 9 Open Reading Frame 3
C9orf40	q21.13	Minus	chr9	74946581	74952886	Protein coding	Chromosome 9 Open Reading Frame 40
C9orf41-AS1	q21.13	Plus	chr9	74952968	74996293	Non-protein coding RNA	C9orf41 Antisense RNA 1
C9orf43	q32	Plus	chr9	113410054	113429684	Protein coding	Chromosome 9 Open Reading Frame 43
C9orf47	q22.1	Plus	chr9	88990863	88996140	Protein coding	Chromosome 9 Open Reading Frame 47
C9orf50	q34.11	Minus	chr9	129612225	129620776	Protein coding	Chromosome 9 Open Reading Frame 50
C9orf57	q21.13	Minus	chr9	72051376	72072721	Protein coding	Chromosome 9 Open Reading Frame 57
C9orf62	q34.3	Plus	chr9	135343249	135346562	Non-protein coding RNA	Chromosome 9 Open Reading Frame 62
C9orf64	q21.32	Minus	chr9	83938311	83956986	Protein coding	Chromosome 9 Open Reading Frame 64
C9orf66	p24.3	Minus	chr9	212824	215741	Protein coding	Chromosome 9 Open Reading Frame 66
C9orf72	p21.2	Minus	chr9	27546545	27573866	Protein coding	Chromosome 9 Open Reading Frame 72
C9orf78	q34.11	Minus	chr9	129827290	129835863	Protein coding	Chromosome 9 Open Reading Frame 78
C9orf84	q31.3	Minus	chr9	111686173	111795008	Protein coding	Chromosome 9 Open Reading Frame 84
C9orf85	q21.13	Plus	chr9	71911510	71986054	Protein coding	Chromosome 9 Open Reading Frame 85
C9orf92	p22.3	Minus	chr9	16203935	16276313	Protein coding	Chromosome 9 Open Reading Frame 92
CA1	q21.2	Minus	chr8	85327608	85379014	Protein coding	Carbonic Anhydrase 1
CA10	q22	Minus	chr17	51630313	52160017	Protein coding	Carbonic Anhydrase 10
CA11	q13.33	Minus	chr19	48637942	48646312	Protein coding	Carbonic Anhydrase 11
CA12	q22.2	Minus	chr15	63321378	63382161	Protein coding	Carbonic Anhydrase 12
CA13	q21.2	Plus	chr8	85220587	85284073	Protein coding	Carbonic Anhydrase 13
CA14	q21.2	Plus	chr1	150257159	150265078	Protein coding	Carbonic Anhydrase 14
CA15P1	q11.21	Minus	chr22	19031564	19034564	Pseudogene	Carbonic Anhydrase 15 Pseudogene 1
CA15P2	q11.21	Minus	chr22	18636445	18638405	Pseudogene	Carbonic Anhydrase 15 Pseudogene 2
CA2	q21.2	Plus	chr8	85463852	85481493	Protein coding	Carbonic Anhydrase 2
CA3	q21.2	Plus	chr8	85373436	85449040	Protein coding	Carbonic Anhydrase 3
CA3-AS1	q21.2	Minus	chr8	85441851	85464915	Non-protein coding RNA	CA3 Antisense RNA 1
CA4	q23.1	Plus	chr17	60149936	60170899	Protein coding	Carbonic Anhydrase 4
CA5A	q24.2	Minus	chr16	87881546	87936529	Protein coding	Carbonic Anhydrase 5A
CA5AP1	p11.2	Minus	chr16	29618785	29636328	Pseudogene	Carbonic Anhydrase 5A Pseudogene 1
CA5B	p22.2	Plus	chrX	15688830	15788409	Protein coding	Carbonic Anhydrase 5B
CA5BP1	p22.2	Plus	chrX	15674932	15703724	Pseudogene	Carbonic Anhydrase 5B Pseudogene 1
CA6	p36.23	Plus	chr1	8945867	8975092	Protein coding	Carbonic Anhydrase 6
CA7	q22.1	Plus	chr16	66844379	66854153	Protein coding	Carbonic Anhydrase 7
CA8	q12.1	Minus	chr8	60187347	60281412	Protein coding	Carbonic Anhydrase 8
CA9	p13.3	Plus	chr9	35673856	35681159	Protein coding	Carbonic Anhydrase 9
CAAP1	p21.2	Minus	chr9	26840685	26892804	Protein coding	Caspase Activity And Apoptosis Inhibitor 1
CAB39	q37.1	Plus	chr2	230712845	230821075	Protein coding	Calcium Binding Protein 39
CAB39L	q14.2	Minus	chr13	49308650	49444126	Protein coding	Calcium Binding Protein 39 Like
CAB39P1	q12.1	Plus	chr5	60630514	60630973	Pseudogene	Calcium Binding Protein 39 Pseudogene 1
CABCOCO1	q21.2	Plus	chr10	61662961	61766766	Protein coding	Ciliary Associated Calcium Binding Coiled-coil 1
CABIN1	q11.23	Plus	chr22	24011192	24065991	Protein coding	Calcineurin Binding Protein 1
CABLES1	q11.2	Plus	chr18	23134564	23260467	Protein coding	Cdk5 And Abl Enzyme Substrate 1
CABLES2	q13.33	Minus	chr20	62388632	62407285	Protein coding	Cdk5 And Abl Enzyme Substrate 2
CABP1	q24.31	Plus	chr12	120640552	120667324	Protein coding	Calcium Binding Protein 1
CABP2	q13.2	Minus	chr11	67518912	67524517	Protein coding	Calcium Binding Protein 2
CABP4	q13.2	Plus	chr11	67452406	67460313	Protein coding	Calcium Binding Protein 4
CABP5	q13.33	Minus	chr19	48029953	48044053	Protein coding	Calcium Binding Protein 5
CABP7	q12.2	Plus	chr22	29720084	29731839	Protein coding	Calcium Binding Protein 7
CABS1	q13.3	Plus	chr4	70334966	70337116	Protein coding	Calcium Binding Protein, Spermatid Associated 1
CABYR	q11.2	Plus	chr18	24138956	24161603	Protein coding	Calcium Binding Tyrosine Phosphorylation Regulated
CABYRP1	p21.1	Minus	chr3	54047749	54048793	Pseudogene	Calcium Binding Tyrosine Phosphorylation Regulated Pseudogene 1
CACFD1	q34.2	Plus	chr9	133459965	133470848	Protein coding	Calcium Channel Flower Domain Containing 1
CACHD1	p31.3	Plus	chr1	64470792	64693058	Protein coding	Cache Domain Containing 1
CACNA1A	p13.13	Minus	chr19	13206442	13633025	Protein coding	Calcium Voltage-gated Channel Subunit Alpha1 A
CACNA1B	q34.3	Plus	chr9	137877789	138124624	Protein coding	Calcium Voltage-gated Channel Subunit Alpha1 B
CACNA1C	p13.33	Plus	chr12	1970786	2697950	Protein coding	Calcium Voltage-gated Channel Subunit Alpha1 C
CACNA1C-AS1	p13.33	Minus	chr12	2676001	2691200	Non-protein coding RNA	CACNA1C Antisense RNA 1
CACNA1C-AS2	p13.33	Minus	chr12	2668500	2672220	Non-protein coding RNA	CACNA1C Antisense RNA 2
CACNA1C-AS3	p13.33	Minus	chr12	2603350	2607440	Non-protein coding RNA	CACNA1C Antisense RNA 3
CACNA1C-AS4	p13.33	Minus	chr12	2220537	2223479	Non-protein coding RNA	CACNA1C Antisense RNA 4
CACNA1D	p21.1	Plus	chr3	53328963	53813733	Protein coding	Calcium Voltage-gated Channel Subunit Alpha1 D
CACNA1E	q25.3	Plus	chr1	181317690	181808084	Protein coding	Calcium Voltage-gated Channel Subunit Alpha1 E
CACNA1F	p11.23	Minus	chrX	49205063	49233371	Protein coding	Calcium Voltage-gated Channel Subunit Alpha1 F
CACNA1G	q21.33	Plus	chr17	50561068	50627474	Protein coding	Calcium Voltage-gated Channel Subunit Alpha1 G
CACNA1G-AS1	q21.33	Minus	chr17	50556207	50562108	Non-protein coding RNA	CACNA1G Antisense RNA 1
CACNA1H	p13.3	Plus	chr16	1153121	1221772	Protein coding	Calcium Voltage-gated Channel Subunit Alpha1 H
CACNA1I	q13.1	Plus	chr22	39570753	39689737	Protein coding	Calcium Voltage-gated Channel Subunit Alpha1 I
CACNA1S	q32.1	Minus	chr1	201039512	201112566	Protein coding	Calcium Voltage-gated Channel Subunit Alpha1 S
CACNA2D1	q21.11	Minus	chr7	81946444	82443798	Protein coding	Calcium Voltage-gated Channel Auxiliary Subunit Alpha2delta 1
CACNA2D2	p21.31	Minus	chr3	50362799	50504244	Protein coding	Calcium Voltage-gated Channel Auxiliary Subunit Alpha2delta 2
CACNA2D3	p21.1	Plus	chr3	54122547	55074557	Protein coding	Calcium Voltage-gated Channel Auxiliary Subunit Alpha2delta 3
CACNA2D3-AS1	p14.3	Minus	chr3	54874605	54901255	Non-protein coding RNA	CACNA2D3 Antisense RNA 1
CACNA2D4	p13.33	Minus	chr12	1791957	1918836	Protein coding	Calcium Voltage-gated Channel Auxiliary Subunit Alpha2delta 4
CACNB1	q12	Minus	chr17	39173456	39197703	Protein coding	Calcium Voltage-gated Channel Auxiliary Subunit Beta 1
CACNB2	p12.33	Plus	chr10	18140677	18543557	Protein coding	Calcium Voltage-gated Channel Auxiliary Subunit Beta 2
CACNB3	q13.12	Plus	chr12	48813794	48828941	Protein coding	Calcium Voltage-gated Channel Auxiliary Subunit Beta 3
CACNB4	q23.3	Minus	chr2	151832768	152099475	Protein coding	Calcium Voltage-gated Channel Auxiliary Subunit Beta 4
CACNG1	q24.2	Plus	chr17	67044590	67056797	Protein coding	Calcium Voltage-gated Channel Auxiliary Subunit Gamma 1
